reading_id,consumption
1030,0.96
139,1.324
1472,0.958
1774,
3317,3.576
2989,0.976
314,9.11
195,2.52
1770,2.282
1695,0.888
923,0.998
380,
3201,0.588
2732,1.056
2208,1.042
2246,1.006
900,0.948
864,0.932
3177,1.076
1477,0.996
847,1.896
3512,1.08
2859,1.858
1048,0.886
1427,4.832
41,1.052
215,8.014
2955,
966,1.178
1341,0.888
1922,0.884
2318,6.184
1643,11.166
2513,0.966
1539,19.512
2496,4.094
1411,1.83
428,0.986
83,
2257,0.966
1012,1.02
85,16.92
2094,0.928
2840,3.052
2103,0.98
3050,0.9
1113,6.66
3163,0.936
310,9.112
1351,0.924
1176,1.836
496,0.926
1096,3.9
93,3.336
2055,1.886
835,0.95
818,0.95
2935,0.912
732,0.906
3239,3.856
634,0.908
2812,4.914
2311,2.36
3399,0.888
2516,2.064
1494,6.008
2876,4.662
3476,0.916
3593,0.94
875,0.99
3423,1.096
2612,0.99
1073,3.686
1702,0.946
1075,6.758
1689,0.936
2950,6.12
2710,4.058
1504,1.02
2705,0.892
2577,0.936
1051,9.384
892,0.904
842,1.01
1274,4.908
368,
2538,1.052
2714,0.912
2774,1.856
2253,1.954
1979,1.044
977,0.984
421,8.632
1815,2.664
665,0.964
893,0.964
737,2.038
1314,0.97
873,1.868
3527,0.94
1565,1.3
2377,1.01
583,8.204
211,2.11
3195,0.96
1077,6.636
3202,5.832
1522,3.83
3460,1.012
231,7.636
819,0.94
613,
2904,0.974
3499,0.94
1540,0.95
117,0.954
651,4.24
3505,0.92
1227,3.474
474,0.948
1482,0.966
2366,1.06
1659,5.24
1397,6.46
3348,5.28
2493,3.558
1129,2.302
1262,2.326
243,14.78
1720,1.012
2296,0.976
3301,1.088
1028,0.99
1977,0.98
1994,0.888
990,0.962
1387,0.888
1920,0.952
1224,5.128
2772,3.08
203,2.224
629,0.982
3240,0.9
1777,3.206
1253,8.702
2160,0.998
3389,4.152
1544,5.172
3449,0.936
2958,7.352
1367,6.614
365,17.26
311,
1311,
2120,0.9
1788,0.872
2500,5.4
1486,5.874
1961,0.914
1399,3.044
672,0.964
124,12.324
2560,1.044
469,0.912
2815,3.522
146,8.18
3337,0.92
914,0.926
2482,3.498
1441,0.902
1088,7.826
3269,6.148
1287,14.232
25,0.924
167,1.186
1904,0.898
2288,0.96
386,5.678
2299,0.95
2771,1.056
1031,18.872
558,0.922
3013,3.752
1195,4.236
2502,0.992
3503,1.12
1237,2.202
1172,2.314
3186,0.872
455,1.008
540,0.916
644,4.638
3170,3.244
1047,1.99
2128,0.92
1382,9.066
561,1.074
1179,2.136
3582,0.964
2601,
2245,0.984
861,0.876
2093,0.932
2139,1.084
856,0.914
1044,0.986
1836,5.354
1995,0.976
3274,0.888
1879,0.982
1020,0.874
2589,0.904
690,0.92
2883,3.812
1870,0.954
2875,2.132
415,8.934
1246,2.004
3561,0.968
1931,0.928
113,5.738
681,4.496
1436,0.938
3318,1.056
3304,1.088
2564,0.984
2176,2.092
1415,0.954
2289,0.97
1877,0.914
1170,13.092
2887,2.352
2331,2.1
2497,0.928
3517,1.024
915,0.98
1434,0.958
1850,5.494
2376,5.056
2324,0.93
843,0.962
2784,5.234
1524,11.112
2765,2.058
1693,0.944
3006,6.196
2095,1.008
1081,8.802
2593,0.952
1927,0.904
2703,4.444
2452,2.59
1346,0.944
2307,0.976
974,1.044
1820,0.916
136,1.564
1844,0.964
1470,6.42
2712,0.938
1705,0.948
2596,0.996
2102,
2807,6.326
3063,0.868
299,0.904
3345,1.016
2590,0.942
1686,0.894
1823,4.498
1089,7.752
1636,0.948
711,9.172
675,7.908
2599,0.968
2145,1.012
3248,0.964
2602,0.962
1460,0.918
2524,5.338
2838,1.22
2749,2.004
399,8.484
2988,4.732
50,0.93
3442,6.068
1330,0.874
2107,1.032
1878,0.996
1225,5.924
3497,0.868
808,0.956
1808,1.368
2477,0.98
3034,0.912
1719,0.992
1832,5.24
2563,3.316
1190,
2690,7.21
2794,2.252
3382,4.676
1556,0.94
2127,1.012
1315,1.9
2603,
302,6.898
850,0.972
1598,3.016
3036,1.012
2930,5.968
2567,0.992
3153,2.132
1729,0.908
3292,0.988
317,9.256
993,0.952
460,1.028
1033,0.966
2573,0.898
997,0.98
918,
2118,0.972
709,1.044
825,0.944
698,0.98
1055,7.238
1082,3.5
1424,7.724
1848,0.948
2910,0.0
3299,0.908
3473,0.94
2301,0.974
553,0.944
2832,1.408
29,0.942
3284,0.968
2553,4.818
2535,3.688
3315,5.784
2487,5.968
909,0.918
1320,0.874
815,1.052
3596,0.952
2019,1.056
1339,0.928
2030,0.974
3606,0.976
2879,4.42
1039,3.922
61,0.896
3254,0.88
349,7.124
2928,1.66
374,6.348
3026,1.124
1442,0.912
726,9.226
96,4.652
2620,1.016
627,7.82
1771,2.356
1998,1.006
715,2.03
494,0.996
1687,3.888
852,0.948
1079,2.558
2805,4.904
3425,0.972
1369,
600,0.936
3580,0.964
3366,0.876
1786,8.14
1983,1.084
1213,6.432
937,0.964
1171,6.624
1991,0.932
2056,1.886
373,8.78
1380,6.056
2211,0.962
2449,5.968
3192,4.34
1584,7.622
2800,1.578
3500,
1500,0.94
2021,1.04
2328,1.026
1004,0.996
394,6.258
3117,7.424
512,0.956
2291,0.884
566,0.912
2097,0.956
1806,0.9
336,0.944
1655,4.952
2256,0.96
3565,1.02
219,1.854
2015,0.952
658,8.616
1267,6.67
1226,4.664
3535,0.928
2312,0.878
3176,5.324
1232,2.038
3225,0.98
3546,0.94
246,9.046
1376,8.226
1900,1.052
1563,0.908
2491,6.894
58,1.098
2350,
2530,7.0
2098,1.74
2332,1.476
315,6.874
3568,0.876
1252,2.796
3022,0.972
717,0.94
2900,0.94
465,0.94
367,8.204
2190,0.93
81,5.314
3461,1.936
3555,0.972
1785,0.96
1094,2.462
2361,2.814
2944,0.89
2242,0.96
1647,8.074
2142,0.93
933,0.898
1855,4.124
2951,4.376
103,9.862
3108,0.936
3020,1.072
887,1.956
2613,
1056,3.448
142,6.522
1619,0.844
95,4.934
3572,1.028
2940,5.114
2837,3.882
3096,0.928
1362,7.232
2406,1.956
1161,2.504
1684,0.97
3219,4.324
516,0.97
2691,1.828
2752,4.908
1018,1.052
2401,0.968
1594,7.418
2792,0.916
472,0.956
845,0.938
3385,1.848
359,
2547,1.022
2304,0.856
3374,4.852
1070,6.236
3454,0.932
860,0.928
1588,2.992
448,
165,1.332
3126,6.212
3039,0.976
1251,3.286
1997,1.006
3052,1.024
351,8.972
438,0.968
2106,0.984
2462,6.468
1286,2.202
645,8.776
2154,0.954
1289,1.034
3429,0.964
899,1.774
3002,1.068
3402,0.94
520,8.794
408,6.34
2819,1.964
722,0.914
3071,0.948
14,0.964
1576,4.48
3452,2.0
3591,0.956
714,
3118,0.9
3193,1.112
839,0.882
2381,0.964
1610,1.068
284,8.554
2085,0.928
3297,1.04
2576,1.898
729,1.0
1019,0.99
522,8.102
529,0.92
1711,1.968
585,1.886
2272,0.964
872,0.936
1403,0.918
2185,
2521,0.97
309,7.886
1503,8.86
1663,10.914
2105,0.984
3331,0.9
383,0.924
1221,2.22
3017,1.044
2503,4.962
3278,
2391,0.962
362,0.932
1750,
3558,0.92
2279,0.992
2863,3.866
2047,1.538
2574,0.956
3210,0.908
3043,0.856
1349,0.918
360,20.82
1533,1.03
1049,0.934
2526,6.03
2134,0.94
1519,6.892
3044,0.948
810,1.016
3422,
1510,0.986
2505,0.944
2300,0.868
2795,1.028
499,0.97
2622,1.082
2764,3.604
1574,0.898
1209,1.994
2890,4.556
2374,4.578
127,
3214,3.644
519,0.948
3094,5.408
114,8.618
3129,1.7
941,0.942
2802,1.584
511,9.164
1375,4.388
3095,
1804,5.622
1374,5.918
1276,4.4
2044,0.976
1370,1.048
1866,0.888
1342,0.894
490,18.39
3251,2.884
1955,0.902
736,0.99
2129,1.004
387,6.534
3282,3.94
1210,6.668
2878,2.676
3333,3.088
609,0.9
3091,0.94
1919,1.024
2197,0.944
3194,1.904
452,0.896
2478,5.376
437,0.968
1080,10.176
2270,0.952
2066,0.936
348,0.904
98,
285,0.88
3147,2.824
1526,8.626
1862,1.126
1283,3.66
507,0.988
